artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,
Sia,This Is Acting,Unstoppable,217746,FALSE,0.468,0.779,2,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,pop,
Camila Cabello;Young Thug,Camila,Havana (feat. Young Thug),217306,FALSE,0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,4,pop,
Charlie Puth;Jung Kook;BTS,CHARLIE,Left and Right (Feat. Jung Kook of BTS),154486,FALSE,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,4,dance,
Rage Against The Machine,Evil Empire,Bulls On Parade,229466,TRUE,0.412,0.919,2,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4,metal,
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,232800,FALSE,0.472,0.671,2,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,4,alternative,
iamjakehill,By the Sword,By the Sword,125812,TRUE,0.685,0.76,2,-7.813,1,0.0512,0.0199,0.151,0.0866,0.781,160.035,4,emo,
Bad Bunny;Tainy,Un Verano Sin Ti,Callaita,250533,FALSE,0.608,0.626,2,-4.773,1,0.301,0.597,2.16E-06,0.25,0.246,176.086,4,reggaeton,
Kygo;DNCE,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),215203,FALSE,0.75,0.797,2,-4.826,1,0.118,0.293,0,0.392,0.523,105.949,4,house,
George Ezra,Green Green Grass,Green Green Grass,167613,FALSE,0.685,0.738,2,-4.413,1,0.0595,0.0695,0,0.128,0.8,112.972,4,songwriter,
Daft Punk;Pharrell Williams;Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,248413,FALSE,0.794,0.811,2,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,4,electro,
Nelly Furtado;Timbaland,Loose,Promiscuous,242293,FALSE,0.808,0.97,2,-6.098,0,0.0506,0.0569,6.13E-05,0.154,0.868,114.328,4,latin,
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,206280,FALSE,0.575,0.568,2,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,rock,
DJ Snake;Selena Gomez;Ozuna;Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,TRUE,0.842,0.801,2,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,4,dance,
Foo Fighters,There Is Nothing Left To Lose,Learn to Fly,235293,FALSE,0.465,0.919,2,-4.025,1,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,4,metal,
Mabel,Ivy To Roses (Mixtape),Don't Call Me Up,178480,FALSE,0.674,0.881,2,-2.853,1,0.147,0.296,3.01E-06,0.0793,0.234,98.994,4,house,
Bad Bunny,Un Verano Sin Ti,Un Ratito,176936,FALSE,0.787,0.546,2,-7.094,0,0.0532,0.305,4.55E-05,0.122,0.222,93.05,4,reggaeton,
Kygo;Conrad Sewell,Cloud Nine,Firestone,271640,FALSE,0.704,0.634,2,-7.374,0,0.0428,0.393,3.17E-05,0.0952,0.411,113.927,4,house,
Zara Larsson,So Good,Lush Life,201122,FALSE,0.694,0.712,2,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4,edm,
Sohn Aelia,Herinneringen,Herinneringen,172357,FALSE,0.0685,0.00342,2,-37.156,1,0.0418,0.99,0.91,0.106,0.0581,73.644,1,sleep,
American Authors,"Oh, What A Life",Best Day Of My Life,194240,FALSE,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4,indie,
Calvin Harris;Sam Smith;Jessie Reyez,Promises (with Sam Smith),Promises (with Sam Smith),213309,FALSE,0.781,0.768,2,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,4,house,
Unlike Pluto;Mike Taylor,Everything Black,Everything Black,228979,FALSE,0.62,0.864,2,-4.334,0,0.114,0.0323,0,0.117,0.395,98.059,4,rock,
Daddy Yankee,Barrio Fino En Directo,Rompe,188626,TRUE,0.696,0.858,2,-5.155,1,0.0859,0.0727,3.19E-06,0.0631,0.533,176.061,4,reggaeton,
KALEO,A/B,Way down We Go,213706,FALSE,0.489,0.505,2,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alt-rock,
Billie Eilish,Bellyache,bellyache,179172,FALSE,0.695,0.573,2,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4,electro,
Yot Club,Bipolar,YKWIM?,212750,FALSE,0.372,0.537,2,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3,indie-pop,
Men I Trust,Show Me How,Show Me How,215110,FALSE,0.791,0.267,2,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4,indie,
Camila Cabello;Ed Sheeran,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),206070,FALSE,0.756,0.697,2,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4,dance,
Rammstein,Mutter,Sonne,272440,FALSE,0.51,0.917,2,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4,german,
Kygo;Parson James,Cloud Nine,Stole the Show,223186,FALSE,0.64,0.635,2,-7.565,0,0.226,0.271,0,0.319,0.475,100.034,4,house,
Glass Animals,Dreamland,Heat Waves,238805,FALSE,0.761,0.525,2,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,4,indie-pop,
Marc Seguí;Rauw Alejandro;Pol Granch,Tiroteo (Remix),Tiroteo - Remix,321555,FALSE,0.75,0.522,2,-7.018,1,0.0293,0.282,0,0.0743,0.601,110.427,4,spanish,
Kina;Snøw,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),179080,FALSE,0.498,0.235,2,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,4,sad,
Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,Feliz Cumpleaños Ferxxo,155960,FALSE,0.865,0.573,2,-5.501,1,0.0678,0.0863,0,0.305,0.563,94.999,4,latino,
blink-182,Enema Of The State,All The Small Things,167066,FALSE,0.434,0.897,2,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,4,punk,
BANNERS,Where The Shadow Ends,Someone To You,219801,FALSE,0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4,rock,
Wiz Khalifa;Charlie Puth,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),229525,FALSE,0.689,0.481,2,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,4,pop,
Stevie Wonder,At The Close Of A Century,I Just Called To Say I Love You,262240,FALSE,0.748,0.551,2,-9.054,1,0.0239,0.243,1.57E-06,0.0943,0.65,113.535,4,indie,
XXXTENTACION,17,Jocelyn Flores,119133,TRUE,0.872,0.391,2,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,4,emo,
Calvin Harris;Ellie Goulding,Motion,Outside (feat. Ellie Goulding),227266,FALSE,0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4,house,
Sia,This Is Acting,Unstoppable,217746,FALSE,0.468,0.779,2,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,dance,
Stromae,Cheese,Alors on danse - Radio Edit,206066,FALSE,0.791,0.59,2,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,4,house,
Anuel AA,Brother,Brother,209578,TRUE,0.592,0.625,2,-6.203,0,0.2,0.618,9.71E-05,0.287,0.555,166.018,4,reggaeton,
The 1975,Being Funny In A Foreign Language,Oh Caroline,212568,FALSE,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01E-05,0.0994,0.819,96.538,4,alternative,
LE SSERAFIM,FEARLESS,Sour Grapes,196540,FALSE,0.779,0.801,2,-5.564,0,0.0457,0.395,0,0.108,0.72,139.998,4,k-pop,
Jarabe De Palo,La Flaca,La flaca,261200,FALSE,0.871,0.481,2,-9.068,1,0.0383,0.52,5.54E-05,0.0809,0.664,103.063,4,spanish,
Tiësto;Charli XCX,Hot In It,Hot In It,129817,FALSE,0.748,0.841,2,-5.08,1,0.177,0.00445,1.33E-06,0.0413,0.717,123.045,4,trance,
Nirvana,Nevermind (Remastered),Come As You Are,218920,FALSE,0.5,0.824,2,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4,alternative,
Rammstein,Mutter,Sonne,272440,FALSE,0.51,0.917,2,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4,alt-rock,
TV Girl,French Exit,Lovers Rock,213920,FALSE,0.559,0.871,2,-5.338,0,0.0397,7.53E-06,0.00545,0.096,0.572,104.97,4,indie,
Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),214846,FALSE,0.791,0.862,2,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,4,house,
The Neighbourhood,I Love You.,Afraid,251186,TRUE,0.464,0.701,2,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4,alternative,
Marshmello;Jonas Brothers,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),154983,FALSE,0.721,0.738,2,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,4,house,
Sofía Reyes;Jason Derulo;De La Ghetto,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526,FALSE,0.792,0.895,2,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,4,pop,
Madism;MKJ;Felix Samuel,Pumped Up Kicks,Pumped Up Kicks,145161,FALSE,0.669,0.687,2,-4.753,1,0.043,0.152,1.60E-05,0.308,0.386,123.903,4,house,
Ruth B.,Safe Haven,Dandelions,233720,FALSE,0.609,0.692,2,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3,pop,
XXXTENTACION,17,Jocelyn Flores,119133,TRUE,0.872,0.391,2,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,4,hip-hop,
The Doobie Brothers,Toulouse Street,Listen to the Music,227266,FALSE,0.645,0.598,2,-13.18,0,0.0335,0.221,3.53E-06,0.0721,0.913,105.929,4,hard-rock,
PUBLIC,Make You Mine,Make You Mine,232906,FALSE,0.606,0.799,2,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014,4,rock,
The Rolling Stones,Aftermath,"Paint It, Black",202266,FALSE,0.464,0.795,2,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4,british,
A.R. Rahman;A. R. Reihana;Bamba Bakya,"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]","Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil",290526,FALSE,0.687,0.637,2,-9.55,0,0.13,0.12,0,0.291,0.56,152,4,pop,
ENHYPEN,BORDER : CARNIVAL,FEVER,172106,FALSE,0.6,0.713,2,-5.079,0,0.0592,0.0642,0,0.142,0.471,72.999,4,k-pop,
Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,215360,FALSE,0.739,0.511,2,-7.844,1,0.0362,0.167,1.34E-06,0.133,0.542,96.038,4,soul,
3 Doors Down,The Better Life,Kryptonite,233933,FALSE,0.545,0.865,2,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,4,metal,
TV Girl,Who Really Cares,Not Allowed,167864,TRUE,0.67,0.905,2,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,4,indie,
50 Cent,Get Rich Or Die Tryin',In Da Club,193466,TRUE,0.899,0.713,2,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4,hip-hop,
Drowning Pool,Sinner,Bodies,201960,FALSE,0.656,0.932,2,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4,industrial,
Nirvana,In Utero - 20th Anniversary Remaster,Dumb,151893,FALSE,0.697,0.395,2,-13.58,1,0.0281,0.428,0.653,0.173,0.876,113.589,4,alt-rock,
Pablo Alborán,Prometo,Saturno,253760,FALSE,0.278,0.572,2,-8.295,1,0.0407,0.392,0,0.063,0.311,95.351,3,spanish,
Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),Love Me Like You Do,253520,FALSE,0.489,0.597,2,-6.633,0,0.0292,0.27,0,0.105,0.324,95.012,4,pop,
Linkin Park,Hybrid Theory (Bonus Edition),In the End,216880,FALSE,0.556,0.864,2,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4,grunge,
Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster,304786,FALSE,0.477,0.471,2,-10.036,1,0.0277,0.193,1.76E-06,0.131,0.423,81.204,4,hard-rock,
Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),Crazy Train,293183,FALSE,0.454,0.913,2,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4,metal,
The Plot In You,DISPOSE,FEEL NOTHING,216826,TRUE,0.448,0.825,2,-5.307,0,0.0621,0.00353,0,0.108,0.226,144.17,4,metal,
Ariana Grande;Doja Cat,Positions,motive (with Doja Cat),167989,TRUE,0.789,0.742,2,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,4,dance,
Cheat Codes;Russell Dickerson,I Remember,I Remember,168117,FALSE,0.57,0.737,2,-4.27,0,0.0685,0.0314,0,0.248,0.621,100.052,4,house,
Mitski,Be the Cowboy,Washing Machine Heart,128198,FALSE,0.613,0.822,2,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4,indie-pop,
XXXTENTACION,17,Carry On,129720,TRUE,0.735,0.197,2,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,4,emo,
Boza,Más Negro Que Rojo,Hecha Pa' Mi,186133,FALSE,0.725,0.756,2,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,4,reggaeton,
Taylor Swift,1989 (Deluxe),Blank Space,231826,FALSE,0.76,0.703,2,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4,pop,
Finger Eleven,Them Vs. You Vs. Me (Deluxe Edition),Paralyzer,208106,FALSE,0.644,0.939,2,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,4,grunge,
Red Hot Chili Peppers,By the Way (Deluxe Edition),By the Way,216933,FALSE,0.451,0.97,2,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4,funk,
Scorpions,Crazy World,Wind Of Change,312360,FALSE,0.452,0.524,2,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,4,german,
Franz Ferdinand,This fffire,This fffire - New Version,218080,FALSE,0.442,0.887,2,-5.943,0,0.1,0.0259,4.57E-06,0.0655,0.637,146.358,4,alternative,
Glass Animals,Heat Waves (Expansion Pack),Heat Waves - Slowed,262248,FALSE,0.633,0.55,2,-9.965,1,0.0924,0.649,0.000363,0.147,0.333,147.099,4,indie-pop,
The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down,208373,FALSE,0.532,0.869,2,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,edm,
Bad Bunny,Un Verano Sin Ti,Aguacero,210989,FALSE,0.861,0.645,2,-6.96,0,0.0743,0.423,0.000592,0.349,0.668,121.391,5,latino,
Blind Melon,Blind Melon,No Rain,217106,FALSE,0.389,0.476,2,-9.342,1,0.0316,0.619,5.09E-05,0.255,0.566,148.117,4,metal,
Trevor Daniel,Nicotine,Falling,159381,FALSE,0.785,0.431,2,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,4,pop,
Rixton,Let The Road,Me And My Broken Heart,193733,FALSE,0.545,0.783,2,-4.261,0,0.0345,0.00489,0,0.132,0.551,174.084,4,rock,
Tiësto,The Business,The Business,164000,FALSE,0.798,0.62,2,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,4,edm,
Guns N' Roses,Use Your Illusion I,Don't Cry (Original),283733,FALSE,0.456,0.59,2,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,4,hard-rock,
NMIXX,AD MARE,O.O,172936,FALSE,0.39,0.767,2,-3.918,0,0.293,0.0354,4.26E-06,0.0601,0.285,200.263,4,k-pop,
awfultune,I Met Sarah in the Bathroom,I Met Sarah in the Bathroom,121374,TRUE,0.675,0.408,3,-10.861,1,0.142,0.901,0.000714,0.16,0.229,90.111,4,indie-pop,
SadBoyProlific,Dead and Cold,Dead and Cold,89624,TRUE,0.622,0.467,3,-9.889,0,0.568,0.872,2.15E-06,0.0931,0.716,87.967,5,sad,
Twenty One Pilots,Blurryface,Ride,214506,FALSE,0.645,0.713,3,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,4,rock,
Sean Paul,The Trinity,Temperature,218573,FALSE,0.951,0.6,3,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4,dancehall,
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,232800,FALSE,0.472,0.671,3,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,4,metal,
Bad Bunny;Jowell & Randy;Ñengo Flow,YHLQMDLG,Safaera,295176,TRUE,0.607,0.829,3,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,4,reggaeton,
Fall Out Boy,From Under The Cork Tree,"Dance, Dance",180266,FALSE,0.622,0.961,3,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,4,emo,
Julia Michaels;Niall Horan,Inner Monologue Part 1,What A Time (feat. Niall Horan),173306,FALSE,0.516,0.467,3,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4,dance,
Creedence Clearwater Revival,Green River (Expanded Edition),Bad Moon Rising,141600,FALSE,0.508,0.774,3,-5.973,1,0.0321,0.0586,4.87E-06,0.063,0.942,178.946,4,country,
Zion & Lennox,Motivando a la Yal,Yo Voy (feat. Daddy Yankee),232019,FALSE,0.808,0.697,3,-5.899,1,0.241,0.041,0,0.0546,0.554,95.06,4,latino,
Damso,Ipséité,Δ. Dieu ne ment jamais,199346,TRUE,0.756,0.736,3,-7.719,1,0.0443,0.0597,4.98E-06,0.0373,0.612,115.985,4,french,
The Offspring,Americana,Pretty Fly (For A White Guy),188666,FALSE,0.723,0.895,3,-3.707,0,0.102,0.088,0,0.0717,0.963,143.373,4,punk-rock,
Danny Ocean,54+1,Me Rehúso,205714,FALSE,0.744,0.804,3,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,4,latino,
Shawn Mendes;Camila Cabello,Shawn Mendes (Deluxe),Señorita,190799,FALSE,0.759,0.548,3,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,4,pop,
Keane,Hopes And Fears,Somewhere Only We Know,237146,FALSE,0.448,0.665,3,-4.203,1,0.026,0.06,2.55E-05,0.0828,0.304,172.004,4,rock,
Tate McRae,you broke me first,you broke me first,169265,TRUE,0.667,0.373,3,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,4,pop,
Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),Kali Kali Zulfon Ke (Lo-Fi),77142,FALSE,0.464,0.491,3,-7.039,1,0.0392,0.837,1.39E-06,0.111,0.106,76.739,3,pop,
Jay Wheeler;Mora,Suelta,Suelta,243934,FALSE,0.859,0.553,3,-5.726,0,0.0456,0.628,0.00011,0.109,0.338,122.048,4,reggaeton,
Imagine Dragons,Night Visions,Radioactive,186813,FALSE,0.448,0.784,3,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4,rock,
Linkin Park,Meteora,Faint,162600,FALSE,0.554,0.978,3,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,4,grunge,
The Rolling Stones,Out Of Our Heads,(I Can't Get No) Satisfaction - Mono Version,222813,FALSE,0.723,0.863,3,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4,british,
Halsey,hopeless fountain kingdom (Deluxe),Bad At Love,181279,FALSE,0.675,0.751,3,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,4,indie-pop,
Bad Bunny,Un Verano Sin Ti,Dos Mil 16,208615,FALSE,0.817,0.67,3,-6.534,1,0.0506,0.123,1.92E-06,0.128,0.495,130.058,3,reggaeton,
Vance Joy,Dream Your Life Away,Riptide,204280,FALSE,0.484,0.731,3,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4,rock,
Swedish House Mafia;The Weeknd,Paradise Again,Moth To A Flame (with The Weeknd),234000,FALSE,0.553,0.659,3,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4,dance,
Kate Bush,Hounds Of Love,Running Up That Hill (A Deal With God),298933,FALSE,0.629,0.547,3,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,r-n-b,
Måneskin,SUPERMODEL,SUPERMODEL,148064,FALSE,0.636,0.876,3,-3.413,1,0.0555,0.00164,0,0.117,0.799,120.983,4,indie-pop,
Mobb Deep,The Infamous,"Shook Ones, Pt. II",325506,TRUE,0.763,0.786,3,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4,hardcore,
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,206280,FALSE,0.575,0.568,3,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alternative,
MGMT,Little Dark Age,Little Dark Age,299960,FALSE,0.705,0.712,3,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alternative,
Sidhu Moose Wala;Sunny Malton;The Kidd,Levels,Levels,228705,TRUE,0.592,0.728,3,-6.098,1,0.311,0.00148,0,0.379,0.577,113.17,5,pop,
"Earth, Wind & Fire;The Emotions",I Am,Boogie Wonderland,288293,FALSE,0.802,0.756,3,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4,disco,
Slipknot,Vol. 3: The Subliminal Verses,Duality,252613,FALSE,0.354,0.982,3,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4,alternative,
Amy Macdonald,This Is The Life (eDeluxe),This Is The Life,184413,FALSE,0.628,0.882,3,-5.024,0,0.0323,0.259,0,0.065,0.853,95.083,4,singer-songwriter,
Christian Leave,Hope,Please Notice,116666,FALSE,0.55,0.271,3,-8.451,1,0.0297,0.843,3.21E-06,0.107,0.198,111.344,4,indie-pop,
Eric Carmen,The Definitive Collection,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",251066,FALSE,0.712,0.549,3,-9.484,1,0.0254,0.011,0,0.118,0.552,109.882,4,singer-songwriter,
Wham!,Make It Big,Wake Me Up Before You Go-Go,231333,FALSE,0.62,0.573,3,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4,disco,
Swedish House Mafia;Connie Constance,Paradise Again,Heaven Takes You Home (feat. Connie Constance),214071,FALSE,0.665,0.738,3,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,4,progressive-house,
Alice In Chains,Facelift,Man in the Box,285200,TRUE,0.355,0.791,3,-7.565,1,0.0453,0.00045,0,0.0969,0.758,106.392,4,alt-rock,
Beach Bunny,Prom Queen,Prom Queen,136562,FALSE,0.528,0.797,3,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,4,indie,
Jay Wheeler;Mora,Suelta,Suelta,243934,FALSE,0.859,0.553,3,-5.726,0,0.0456,0.628,0.00011,0.109,0.338,122.048,4,latino,
Marshmello;Demi Lovato,OK Not To Be OK,OK Not To Be OK,159862,FALSE,0.743,0.837,3,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,4,electro,
Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Wild World,200560,FALSE,0.48,0.542,3,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,4,songwriter,
My Chemical Romance,The Black Parade,Welcome to the Black Parade,311106,FALSE,0.217,0.905,3,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4,emo,
ZAYN;Taylor Swift,reputation Stadium Tour Surprise Song Playlist,I Don’t Wanna Live Forever (Fifty Shades Darker),247160,FALSE,0.731,0.445,3,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97,4,dance,
Kygo;Conrad Sewell,Cloud Nine,Firestone,271640,FALSE,0.704,0.634,3,-7.374,0,0.0428,0.393,3.17E-05,0.0952,0.411,113.927,4,edm,
G-Eazy;Halsey,The Beautiful & Damned,Him & I (with Halsey),268866,TRUE,0.589,0.731,3,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4,indie-pop,
Dhanush;Anirudh Ravichander,"Thaai Kelavi (From ""Thiruchitrambalam"")","Thaai Kelavi (From ""Thiruchitrambalam"")",258909,FALSE,0.661,0.92,3,-3.469,0,0.188,0.0352,1.40E-05,0.314,0.494,82.508,4,k-pop,
Pritam;Arijit Singh,Love Aaj Kal (Original Motion Picture Soundtrack),Shayad,247941,FALSE,0.483,0.468,3,-7.642,1,0.0341,0.784,0,0.152,0.319,135.875,4,indian,
Sebastian Yatra,Tacones Rojos,Tacones Rojos,189320,FALSE,0.748,0.856,3,-3.517,0,0.0348,0.0824,0,0.142,0.927,123.031,4,reggaeton,
The Smiths,Hatful of Hollow,Heaven Knows I'm Miserable Now - 2011 Remaster,215760,FALSE,0.609,0.759,3,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,4,punk-rock,
Ellie Goulding;Juice WRLD,Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),186223,FALSE,0.657,0.768,3,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4,indie,
Rvssian;Rauw Alejandro;Chris Brown,Nostálgico,Nostálgico,209883,TRUE,0.734,0.846,3,-3.425,0,0.0489,0.166,1.74E-06,0.235,0.604,98.026,4,latin,
Dr. Dog,"Shame, Shame (Deluxe Edition)",Where'd All the Time Go?,234800,FALSE,0.454,0.82,3,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4,indie,
Dr. Dre;Snoop Dogg,2001,Still D.R.E.,270586,TRUE,0.816,0.775,3,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4,hip-hop,
Olivia Newton-John,Grease (The Original Motion Picture Soundtrack),Hopelessly Devoted To You - From “Grease”,185360,FALSE,0.59,0.338,3,-13.101,0,0.03,0.292,0.0131,0.121,0.322,110.581,3,disco,
Paramore,Paramore,Still into You,216013,FALSE,0.602,0.923,3,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4,emo,
Rvssian;Rauw Alejandro;Chris Brown,Nostálgico,Nostálgico,209883,TRUE,0.734,0.846,3,-3.425,0,0.0489,0.166,1.74E-06,0.235,0.604,98.026,4,reggae,
Mr. Probz;Robin Schulz,Waves (Robin Schulz Radio Edit),Waves - Robin Schulz Radio Edit,208133,FALSE,0.829,0.51,3,-9.334,0,0.0369,0.00821,0.00143,0.0829,0.45,119.994,4,house,
Tom Petty,Full Moon Fever,Free Fallin',256000,FALSE,0.623,0.449,3,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,4,folk,
Radiohead,Pablo Honey,Creep,238640,TRUE,0.515,0.43,3,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,alternative,
BTS,Love Yourself 轉 'Tear',FAKE LOVE,242333,FALSE,0.557,0.719,3,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,4,k-pop,
Pearl Jam,Ten,Alive,340907,FALSE,0.284,0.875,3,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4,grunge,
System Of A Down,Toxicity,Toxicity,218933,FALSE,0.413,0.873,3,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3,alternative,
